Absolmsia spartioides
Damnacanthus giganteus
Damnacanthus hainanensis
Damnacanthus henryi
Damnacanthus indicus
Damnacanthus labordei
Damnacanthus macrophyllus
Damnacanthus major
Damnacanthus officinarum
Danais comorensis
Danais coronata
Danais fragrans
Danais humblotii
Danais microcarpa
Danais pubescens
Danais rhamnifolia
Danais sulcata
Danais vestita
Danais xanthorrhoea
Decalepis arayalpathra
Decalepis hamiltonii
Deccania pubescens
Declieuxia cordigera
Declieuxia dusenii
Declieuxia fruticosa
Deianira pallescens
Dendrosipanea spigelioides
Dentella dioeca
Dentella repens
Deppea amaranthina
Deppea blumenaviensis
Deppea cornifolia
Deppea erythrorhiza
Deppea grandiflora
Deppea inaequalis
Deppea microphylla
Deppea obtusiflora
Deppea purpurascens
Deppea purpusii
Deppea rubrinervis
Deppea splendens
Deppeopsis foliosa
Deppeopsis hernandezii
Deppeopsis tubana
Dewevrella cochliostema
Dialypetalanthus fuscescens
Dibrachionostylus kaessneri
Dictyandra arborescens
Dictyophleba lucida
Didymaea alsinoides
Didymaea floribunda
Didymaea mexicana
Didymosalpinx lanciloba
Didymosalpinx norae
Diodella teres
Diodia apiculata
Diodia aulacosperma
Diodia sarmentosa
Diodia spicata
Diodia virginiana
Dioicodendron dioicum
Diplolepis australis
Diplolepis biflora
Diplolepis boerhaviifolia
Diplolepis bulligera
Diplolepis descolei
Diplolepis diemii
Diplolepis geminiflora
Diplolepis hieronymi
Diplolepis menziesii
Diplolepis mucronata
Diplolepis myrtifolia
Diplolepis nummulariifolia
Diplolepis pachyphylla
Diplorhynchus condylocarpon
Diplospora dubia
Diplospora polysperma
Diplostigma canescens
Dirichletia glaucescens
Dirichletia virgata
Dischidia astephana
Dischidia bengalensis
Dischidia chinensis
Dischidia hirsuta
Dischidia lanceolata
Discospermum abnorme
Ditassa anderssonii
Ditassa angustifolia
Ditassa auriflora
Ditassa banksii
Ditassa blanchetii
Ditassa burchellii
Ditassa capillaris
Ditassa conceptionis
Ditassa cordeiroana
Ditassa crassifolia
Ditassa ditassoides
Ditassa endoleuca
Ditassa eximia
Ditassa fasciculata
Ditassa hastata
Ditassa hispida
Ditassa lenheirensis
Ditassa mucronata
Ditassa niruri
Ditassa obcordata
Ditassa pohliana
Ditassa retusa
Ditassa rotundifolia
Ditassa subtrivialis
Ditassa tomentosa
Djaloniella ypsilostyla
Dolianthus vaccinioides
Dolichodelphys chlorocrater
Dolicholobium macgregorii
Dolicholobium oblongifolium
Dolicholobium oxylobum
Dolichopentas decora
Dolichopentas lindenioides
Dolichopentas longiflora
Dregea abyssinica
Dregea sinensis
Dregea volubilis
Dunnia sinensis
Duperrea pavettifolia
Duroia aquatica
Duroia eriopila
Duroia hirsuta
Duroia longiflora
Duroia micrantha
Durringtonia paludosa
Duvalia angustiloba
Duvalia eilensis
Duvalia elegans
Duvalia maculata
Duvalia polita
Duvalia sulcata
Duvaliandra dioscoridis
Dyera costulata
Echidnopsis angustiloba
Echidnopsis archeri
Echidnopsis ballyi
Echidnopsis bentii
Echidnopsis bihendulensis
Echidnopsis cereiformis
Echidnopsis dammanniana
Echidnopsis ericiflora
Echidnopsis fartaqensis
Echidnopsis globosa
Echidnopsis inconspicua
Echidnopsis insularis
Echidnopsis leachii
Echidnopsis malum
Echidnopsis mijerteina
Echidnopsis montana
Echidnopsis planiflora
Echidnopsis radians
Echidnopsis repens
Echidnopsis scutellata
Echidnopsis sharpei
Echidnopsis socotrana
Echidnopsis squamulata
Echidnopsis urceolata
Echidnopsis watsonii
Echites turriger
Echites umbellatus
Echites woodsonianus
Ectadium latifolium
Edithcolea grandis
Edithea guerrerensis
Edithea oaxacana
Edithea schiblii
Elaeagia auriculata
Elaeagia mariae
Elaeagia myriantha
Elaeagia obovata
Elaeagia utilis
Elytropus chilensis
Emmenopterys henryi
Emmeorhiza umbellata
Empogona kirkii
Enicostema axillare
Enicostema verticillatum
Enterospermum coriaceum
Eosanthe cubensis
Epigynum auritum
Epigynum cochinchinense
Epigynum griffithianum
Epigynum ridleyi
Epistemma rupestre
Erithalis diffusa
Erithalis fruticosa
Erithalis harrisii
Erithalis odorifera
Erithalis quadrangularis
Erithalis salmeoides
Erithalis vacciniifolia
Ernodea littoralis
Euclinia longiflora
Eustegia minuta
Eustoma exaltatum
Exaculum pusillum
Exacum affine
Exacum appendiculatum
Exacum atropurpureum
Exacum bulbilliferum
Exacum caeruleum
Exacum dolichantherum
Exacum exiguum
Exacum fruticosum
Exacum hamiltonii
Exacum humbertii
Exacum intermedium
Exacum linearifolium
Exacum macranthum
Exacum marojejyense
Exacum microcarpum
Exacum millotii
Exacum nummularifolium
Exacum oldenlandioides
Exacum pallidum
Exacum paucisquamum
Exacum pedunculatum
Exacum quinquenervium
Exacum sessile
Exacum stenophyllum
Exacum subacaule
Exacum subteres
Exacum subverticillatum
Exacum sutaepense
Exacum tetragonum
Exacum trinervium
Exacum walkeri
Exacum wightianum
Exochaenium baumianum
Exochaenium clavatum
Exochaenium debile
Exochaenium fernandesianum
Exochaenium grande
Exochaenium lineariforme
Exochaenium macropterum
Exochaenium oliganthum
Exochaenium perparvum
Exochaenium platypterum
Exochaenium primuliflorum
Exochaenium teucszii
Exostema acuminatum
Exostema brachycarpum
Exostema caribaeum
Exostema corymbosum
Exostema ellipticum
Exostema ixoroides
Exostema lancifolium
Exostema lineatum
Exostema longiflorum
Exostema maynense
Exostema mexicanum
Exostema myrtifolium
Exostema nitens
Exostema parviflorum
Exostema purpureum
Exostema salicifolium
Exostema spinosum
Exostema stenophyllum
Fadogia agrestis
Fadogia ancylantha
Fadogia arenicola
Fadogia audruana
Fadogia cienkowskii
Fadogia elskensii
Fadogia fuchsioides
Fadogia homblei
Fadogia salictaria
Fadogia stenophylla
Fadogia tetraquetra
Fadogia triphylla
Fadogia verdcourtii
Fadogia verdickii
Fadogiella stigmatoloba
Fagraea auriculata
Fagraea belukar
Fagraea berteroana
Fagraea carnosa
Fagraea caudata
Fagraea ceilanica
Fagraea collina
Fagraea crassifolia
Fagraea crenulata
Fagraea curtisii
Fagraea cuspidata
Fagraea elliptica
Fagraea fragrans
Fagraea gardenioides
Fagraea gigantea
Fagraea gracilipes
Fagraea imperialis
Fagraea macroscypha
Fagraea oblonga
Fagraea racemosa
Fagraea renae
Fagraea resinosa
Fagraea ridleyi
Fagraea salticola
Fagraea spicata
Fagraea splendens
Fagraea stonei
Fagraea volubilis
Fagraea wallichiana
Fanninia caloglossa
Faramea crassifolia
Faramea multiflora
Faramea occidentalis
Faramea pedunculata
Faramea porophylla
Faramea rectinervia
Faramea torquata
Faramea trinervia
Faroa axillaris
Faroa schaijesiorum
Farquharia elliptica
Ferdinandusa chlorantha
Ferdinandusa loretensis
Ferdinandusa ovalis
Ferdinandusa paraensis
Ferdinandusa speciosa
Feretia aeruginescens
Feretia apodanthera
Fernaldia pandurata
Fernelia buxifolia
Finlaysonia insularum
Finlaysonia lanuginosa
Fischeria panamensis
Fischeria scandens
Fischeria stellata
Fleroya ledermannii
Fleroya rubrostipulata
Fleroya stipulosa
Fockea angustifolia
Fockea capensis
Fockea comaru
Fockea cylindrica
Fockea edulis
Fockea multiflora
Fockea sinuata
Fockea tugelensis
Foonchewia guangdongensis
Forsteronia acouci
Forsteronia guyanensis
Forsteronia leptocarpa
Forsteronia refracta
Forsteronia spicata
Forsteronia velloziana
Fosbergia shweliensis
Frasera albicaulis
Frasera albomarginata
Frasera caroliniensis
Frasera fastigiata
Frasera montana
Frasera paniculata
Frasera parryi
Frasera puberulenta
Frasera speciosa
Frasera tubulosa
Funastrum angustifolium
Funastrum arenarium
Funastrum clausum
Funastrum elegans
Funastrum gracile
Funastrum odoratum
Funastrum peninsulare
Funastrum utahense
Funtumia africana
Funtumia elastica
Gaertnera aphanodioica
Gaertnera arenaria
Gaertnera belumutensis
Gaertnera bieleri
Gaertnera brevipedicellata
Gaertnera capitulata
Gaertnera cooperi
Gaertnera cuneifolia
Gaertnera drakeana
Gaertnera edentata
Gaertnera fractiflexa
Gaertnera globigera
Gaertnera grisea
Gaertnera hispida
Gaertnera humblotii
Gaertnera inflexa
Gaertnera junghuhniana
Gaertnera longifolia
Gaertnera longivaginalis
Gaertnera lowryi
Gaertnera macrostipula
Gaertnera madagascariensis
Gaertnera microphylla
Gaertnera oblanceolata
Gaertnera obovata
Gaertnera paniculata
Gaertnera pauciflora
Gaertnera phyllosepala
Gaertnera phyllostachya
Gaertnera psychotrioides
Gaertnera rosea
Gaertnera schatzii
Gaertnera schizocalyx
Gaertnera ternifolia
Gaertnera vaginans
Gaertnera vaginata
Gaertnera viminea
Gaertnera walkeri
Galactophora crassifolia
Galactophora schomburgkiana
Galianthe brasiliensis
Galianthe eupatorioides
Galium aetnicum
Galium album
Galium ambiguum
Galium andrewsii
Galium angustifolium
Galium anisophyllum
Galium aparine
Galium argense
Galium arkansanum
Galium aschenbornii
Galium baillonii
Galium bermudense
Galium bifolium
Galium bigeminum
Galium bolanderi
Galium boreale
Galium californicum
Galium carmenicola
Galium carterae
Galium catalinense
Galium cespitosum
Galium circaezans
Galium cliftonsmithii
Galium collomiae
Galium coloradoense
Galium cometerhizon
Galium concinnum
Galium correllii
Galium corrudifolium
Galium corsicum
Galium corymbosum
Galium dahuricum
Galium dempsterae
Galium divaricatum
Galium elongatum
Galium environmental
Galium estebani
Galium fendleri
Galium friedrichii
Galium gilliesii
Galium glabrescens
Galium gracilens
Galium gracilicaule
Galium grande
Galium grayanum
Galium hallii
Galium hilendiae
Galium hintoniorum
Galium hirtum
Galium hypocarpium
Galium hypotrichium
Galium hystricocarpum
Galium intricatum
Galium japonicum
Galium jepsonii
Galium johnstonii
Galium juniperinum
Galium kamtschaticum
Galium kikumuyura
Galium kinuta
Galium koreanum
Galium lanceolatum
Galium latifolium
Galium latoramosum
Galium lilloi
Galium lucidum
Galium martirense
Galium matthewsii
Galium megalospermum
Galium megapotamicum
Galium mexicanum
Galium microphyllum
Galium mollugo
Galium moranii
Galium multiflorum
Galium munzii
Galium murale
Galium nigroramosum
Galium noxium
Galium obtusum
Galium odoratum
Galium oreganum
Galium oresbium
Galium ossirwaense
Galium palustre
Galium paradoxum
Galium parishii
Galium parisiense
Galium pendulum
Galium perralderi
Galium pilosum
Galium pogonanthum
Galium porrigens
Galium productum
Galium proliferum
Galium pseudoasprellum
Galium pumilum
Galium pyrenaicum
Galium richardianum
Galium rivale
Galium rotundifolium
Galium rubioides
Galium ruthenicum
Galium rzedowskii
Galium saxatile
Galium scabrum
Galium seatonii
Galium septentrionale
Galium serpenticum
Galium songaricum
Galium sparsiflorum
Galium spurium
Galium stellatum
Galium sterneri
Galium suecicum
Galium sylvaticum
Galium texense
Galium thunbergianum
Galium tinctorium
Galium tokyoense
Galium tomentosum
Galium trachyspermum
Galium tricornutum
Galium trifidum
Galium trifloriforme
Galium triflorum
Galium uliginosum
Galium uncinulatum
Galium uniflorum
Galium valdepilosum
Galium verrucosum
Galium verum
Galium virgatum
Galium volcanense
Galium wigginsii
Galium wrightii
Galopina circaeoides
Galopina crocylloides
Gardenia boninensis
Gardenia carinata
Gardenia collinsae
Gardenia cornuta
Gardenia elata
Gardenia gjellerupii
Gardenia gummifera
Gardenia hansemannii
Gardenia imperialis
Gardenia jasminoides
Gardenia latifolia
Gardenia multiflora
Gardenia obtusifolia
Gardenia papuana
Gardenia resinifera
Gardenia resiniflua
Gardenia saxatilis
Gardenia sootepensis
Gardenia taitensis
Gardenia ternifolia
Gardenia thailandica
Gardenia thunbergia
Gardenia tubifera
Gardenia volkensii
Gardneria angustifolia
Gardneria multiflora
Gardneria ovata
Geissospermum laeve
Gelsemium elegans
Gelsemium rankinii
Gelsemium sempervirens
Geniostemon gypsophilum
Geniostoma angustifolium
Geniostoma antherotrichum
Geniostoma borbonicum
Geniostoma glabrum
Geniostoma glaucescens
Geniostoma huttonii
Geniostoma imbricatum
Geniostoma petiolosum
Geniostoma rupestre
Genipa americana
Genipa curviflora
Gentiana acaulis
Gentiana affinis
Gentiana algida
Gentiana alpina
Gentiana altaica
Gentiana andrewsii
Gentiana angulosa
Gentiana angustifolia
Gentiana arisanensis
Gentiana aristata
Gentiana asclepiadea
Gentiana atlantica
Gentiana atropurpurea
Gentiana bavarica
Gentiana boryi
Gentiana brachyphylla
Gentiana brentae
Gentiana burseri
Gentiana cachemirica
Gentiana callistantha
Gentiana clusii
Gentiana crassicaulis
Gentiana crassuloides
Gentiana crenulatotruncata
Gentiana cruciata
Gentiana dahurica
Gentiana davidii
Gentiana decora
Gentiana decorata
Gentiana decumbens
Gentiana delavayi
Gentiana depressa
Gentiana dinarica
Gentiana douglasiana
Gentiana flexicaulis
Gentiana fremontii
Gentiana freyniana
Gentiana frigida
Gentiana froelichii
Gentiana futtereri
Gentiana gelida
Gentiana glauca
Gentiana gracilipes
Gentiana haynaldii
Gentiana heleonastes
Gentiana hexaphylla
Gentiana hyalina
Gentiana intricata
Gentiana jamesii
Gentiana kaufmanniana
Gentiana kolakovskyi
Gentiana lagodechiana
Gentiana lawrencei
Gentiana lhassica
Gentiana ligustica
Gentiana lilliputiana
Gentiana lutea
Gentiana macrophylla
Gentiana manshurica
Gentiana montserratii
Gentiana nivalis
Gentiana nutans
Gentiana occidentalis
Gentiana officinalis
Gentiana olivieri
Gentiana orbicularis
Gentiana oreodoxa
Gentiana ornata
Gentiana otophoroides
Gentiana pannonica
Gentiana panthaica
Gentiana paradoxa
Gentiana parryi
Gentiana penetii
Gentiana phyllocalyx
Gentiana piasezkii
Gentiana pilosa
Gentiana pleurogynoides
Gentiana pneumonanthe
Gentiana procera
Gentiana producta
Gentiana prostrata
Gentiana pseudoaquatica
Gentiana pudica
Gentiana pumila
Gentiana punctata
Gentiana purpurea
Gentiana pyrenaica
Gentiana rigescens
Gentiana robusta
Gentiana rostanii
Gentiana rubicunda
Gentiana saponaria
Gentiana scabra
Gentiana scabrida
Gentiana schleicheri
Gentiana sedifolia
Gentiana septemfida
Gentiana sierrae
Gentiana sino-ornata
Gentiana siphonantha
Gentiana squarrosa
Gentiana straminea
Gentiana szechenyii
Gentiana tergestina
Gentiana terglouensis
Gentiana tetrasticha
Gentiana thunbergii
Gentiana tibetica
Gentiana triflora
Gentiana uniflora
Gentiana urnula
Gentiana utriculosa
Gentiana veitchiorum
Gentiana verna
Gentiana vernayi
Gentiana waltonii
Gentiana walujewii
Gentiana wutaiensis
Gentiana yakushimensis
Gentiana zekuensis
Gentiana zollingeri
Gentianella acuta
Gentianella amarella
Gentianella anglica
Gentianella angustiflora
Gentianella anisodonta
Gentianella antarctica
Gentianella antipoda
Gentianella arenaria
Gentianella aspera
Gentianella astonii
Gentianella aurea
Gentianella auriculata
Gentianella austriaca
Gentianella azurea
Gentianella bellidifolia
Gentianella biebersteinii
Gentianella bohemica
Gentianella bulgarica
Gentianella campestris
Gentianella canosoi
Gentianella caucasea
Gentianella cerastioides
Gentianella cerina
Gentianella cernua
Gentianella chathamica
Gentianella columnae
Gentianella corymbifera
Gentianella cosmantha
Gentianella crispata
Gentianella diemensis
Gentianella engadinensis
Gentianella fastigiata
Gentianella fatrae
Gentianella florida
Gentianella foliosa
Gentianella gentianoides
Gentianella germanica
Gentianella grisebachii
Gentianella hirculus
Gentianella holosteoides
Gentianella insubrica
Gentianella lineata
Gentianella longicarpa
Gentianella lutescens
Gentianella magellanica
Gentianella microcalyx
Gentianella montana
Gentianella moorcroftiana
Gentianella muelleriana
Gentianella myriantha
Gentianella nana
Gentianella narcissoides
Gentianella paparoaensis
Gentianella patula
Gentianella peruviana
Gentianella pilosa
Gentianella polysperes
Gentianella propinqua
Gentianella quinquefolia
Gentianella ramosa
Gentianella rapunculoides
Gentianella ruizii
Gentianella rupicola
Gentianella saxosa
Gentianella serotina
Gentianella spenceri
Gentianella splendens
Gentianella stoliczkai
Gentianella styriaca
Gentianella sulphurea
Gentianella tenella
Gentianella thyrsoidea
Gentianella tristicha
Gentianella turkestanorum
Gentianella uliginosa
Gentianella umbellata
Gentianella wislizeni
Gentianodes eumarginata
Gentianodes tianschanica
Gentianopsis barbata
Gentianopsis ciliata
Gentianopsis contorta
Gentianopsis crinita
Gentianopsis detonsa
Gentianopsis grandis
Gentianopsis holopetala
Gentianopsis lanceolata
Gentianopsis macrantha
Gentianopsis paludosa
Gentianopsis thermalis
Gentianothamnus madagascariensis
Geophila cordifolia
Geophila ingens
Geophila macropoda
Geophila obvallata
Geophila repens
Geophila tenuis
Gleasonia prancei
Glionnetia sericea
Globulostylis minor
Glossonema boveanum
Glossonema varians
Glossostelma carsonii
Glossostelma ceciliae
Glossostelma spathulatum
Glossostipula concinna
Gomphocalyx herniarioides
Gomphocarpus abyssinicus
Gomphocarpus cancellatus
Gomphocarpus fruticosus
Gomphocarpus glaucophyllus
Gomphocarpus physocarpus
Gomphocarpus tomentosus
Gongronema wallichii
Gonioanthela hilariana
Gonioma kamassi
Gonolobus albomarginatus
Gonolobus arizonicus
Gonolobus barbatus
Gonolobus bibarbatus
Gonolobus breedlovei
Gonolobus chloranthus
Gonolobus croceus
Gonolobus edulis
Gonolobus fraternus
Gonolobus fuscoviolaceus
Gonolobus gonoloboides
Gonolobus grandiflorus
Gonolobus iyanolensis
Gonolobus jaliscensis
Gonolobus jamaicensis
Gonolobus niger
Gonolobus parviflorus
Gonolobus patens
Gonolobus pectinatus
Gonolobus rostratus
Gonolobus stapelioides
Gonolobus stenosepalus
Gonolobus stephanotrichus
Gonolobus suberosus
Gonolobus taylorianus
Gonolobus uniflorus
Gonolobus waitukubuliensis
Gonolobus xanthotrichus
Gonolobus youroumaynensis
Gonzalagunia affinis
Gonzalagunia cornifolia
Gonzalagunia cuatrecasasii
Gonzalagunia dependens
Gonzalagunia dicocca
Gonzalagunia discolor
Gonzalagunia kallunkii
Gonzalagunia rosea
Gonzalagunia spicata
Gonzalagunia veraguensis
Gonzalagunia whitei
Goydera somaliense
Graphistemma pictum
Greenea corymbosa
Greenea oblonga
Greeniopsis discolor
Greeniopsis euphlebia
Greeniopsis megalantha
Greeniopsis multiflora
Greeniopsis philippinensis
Greeniopsis pubescens
Greeniopsis sibuyanensis
Guettarda acreana
Guettarda boliviana
Guettarda combsii
Guettarda crispiflora
Guettarda divaricata
Guettarda elliptica
Guettarda ferruginea
Guettarda foliacea
Guettarda heterosepala
Guettarda hirsuta
Guettarda humboldtensis
Guettarda krugii
Guettarda macrosperma
Guettarda nannocarpa
Guettarda noumeana
Guettarda odorata
Guettarda platypoda
Guettarda pohliana
Guettarda pungens
Guettarda scabra
Guettarda speciosa
Guettarda splendens
Guettarda stenophylla
Guettarda tournefortiopsis
Guettarda trimera
Guettarda uruguensis
Guettarda valenzuelana
Guettardella inconspicua
Gunnessia pepo
Gymnanthera oblonga
Gymnema elegans
Gymnema inodorum
Gymnema latifolium
Gymnema montanum
Gymnema sylvestre
Gynochthodes coriacea
Gynochthodes epiphytica
Gynochthodes oresbia
Gynochthodes sessilis
Gyrandra brachycalyx
Gyrandra pauciflora
Gyrandra tenuifolia
Gyrostipula comorensis
Gyrostipula foveolata
Haldina cordifolia
Halenia alleniana
Halenia aquilegiella
Halenia brevicornis
Halenia conzatii
Halenia corniculata
Halenia crumiana
Halenia decumbens
Halenia deflexa
Halenia elliptica
Halenia kalbreyeri
Halenia longicaulis
Halenia minima
Halenia palmeri
Halenia plantaginea
Halenia pringlei
Halenia pulchella
Halenia recurva
Halenia rhyacophila
Halenia rusbyi
Halenia schiedeana
Halenia serpyllifolia
Halenia taruga-gasso
Halenia umbellata
Halenia viridis
Halenia weddelliana
Hamelia axillaris
Hamelia cuprea
Hamelia papillosa
Hamelia patens
Hamelia xorullensis
Hancornia speciosa
Haplophyton crooksii
Hayataella michelloides
Hedstromia latifolia
Hedyotis acutangula
Hedyotis alexanderae
Hedyotis ampliflora
Hedyotis angustifolia
Hedyotis arenaria
Hedyotis articularis
Hedyotis asperuloides
Hedyotis auricularia
Hedyotis biflora
Hedyotis bracteosa
Hedyotis cantoniensis
Hedyotis capitellata
Hedyotis cathayana
Hedyotis caudatifolia
Hedyotis cheniana
Hedyotis chereevensis
Hedyotis communis
Hedyotis coprosmoides
Hedyotis coronaria
Hedyotis costata
Hedyotis cryptantha
Hedyotis decora
Hedyotis dendroides
Hedyotis dianxiensis
Hedyotis effusa
Hedyotis fissistipula
Hedyotis flavescens
Hedyotis fruticosa
Hedyotis gardneri
Hedyotis hainanensis
Hedyotis herbacea
Hedyotis hillebrandii
Hedyotis intricata
Hedyotis koana
Hedyotis korrorensis
Hedyotis lawsoniae
Hedyotis lessertiana
Hedyotis lindleyana
Hedyotis littoralis
Hedyotis loganioides
Hedyotis longiexserta
Hedyotis longipetala
Hedyotis macrostegia
Hedyotis megalantha
Hedyotis membranacea
Hedyotis merguensis
Hedyotis minutopuberula
Hedyotis nana
Hedyotis nankunshanensis
Hedyotis nodulosa
Hedyotis novoguineensis
Hedyotis obliquinervis
Hedyotis obscura
Hedyotis ovata
Hedyotis pachycarpa
Hedyotis pahompokae
Hedyotis paridifolia
Hedyotis parryi
Hedyotis philippensis
Hedyotis pitardiana
Hedyotis platystipula
Hedyotis pterita
Hedyotis pulchella
Hedyotis pulcherrima
Hedyotis purpurascens
Hedyotis quinquenervia
Hedyotis rhinophylla
Hedyotis rigida
Hedyotis rivalis
Hedyotis scandens
Hedyotis schlechteri
Hedyotis serpens
Hedyotis sharpii
Hedyotis shenzhenensis
Hedyotis shiuyingiae
Hedyotis stylosa
Hedyotis swertioides
Hedyotis terminaliflora
Hedyotis terminalis
Hedyotis thwaitesii
Hedyotis trichoclada
Hedyotis tridentata
Hedyotis trimenii
Hedyotis uncinella
Hedyotis valetoniana
Hedyotis vegrandis
Hedyotis verticillata
Hedyotis wuzhishanensis
Hedyotis xanthochroa
Hedyotis xinyiensis
Hedyotis yangchunensis
Hedyotis yazhouensis
Hedyotis yunnanensis
Hedythyrsus spermacocinus
Hedythyrsus thamnoideus
Heinsenia diervilleoides
Heinsia bussei
Heinsia crinita
Heinsia zanzibarica
Hekistocarpa minutiflora
Helia oblongifolia
Hemidesmus indicus
Hemipogon abietoides
Hemipogon acerosus
Hemipogon andinus
Hemipogon carassensis
Hemipogon harleyi
Hemipogon hatschbachii
Hemipogon hemipogonoides
Hemipogon luteus
Hemipogon sprucei
Henriquezia nitida
Heterophyllaea pustulata
Heterostemma acuminatum
Heterostemma brownii
Heterostemma cuspidatum
Heterostemma herbertii
Heterostemma piperifolium
Heterostemma tanjorense
Hillia illustris
Hillia macrophylla
Hillia palmana
Hillia parasitica
Hillia triflora
Himatanthus bracteatus
Himatanthus drasticus
Himatanthus tarapotensis
Hindsia glabra
Hindsia longiflora
Hintonia latiflora
Hintonia standleyana
Hippotis brevipes
Hippotis scarlatina
Hippotis triflora
Hodgkinsonia frutescens
Hodgkinsonia ovatiflora
Hoffmannia culminicola
Hoffmannia ghiesbreghtii
Hoffmannia longipetiolata
Hoffmannia oaxacensis
Hoffmannia refulgens
Hoffmannia silviarum
Holarrhena curtisii
Holarrhena pubescens
Holostemma ada-kodien
Hoodia gordonii
Hoodia macrantha
Hoodia officinalis
Hoodia parviflora
Hoodia ruschii
Hoodia triebneri
Hoppea dichotoma
Houstonia acerosa
Houstonia caerulea
Houstonia canadensis
Houstonia humifusa
Houstonia longifolia
Houstonia micrantha
Houstonia ouachitana
Houstonia palmeri
Houstonia parviflora
Houstonia procumbens
Houstonia purpurea
Houstonia pusilla
Houstonia rosea
Houstonia rubra
Houstonia serpyllifolia
Houstonia wrightii
Hoya acuta
Hoya affinis
Hoya albiflora
Hoya anulata
Hoya archboldiana
Hoya ariadna
Hoya australis
Hoya bella
Hoya bilobata
Hoya bordenii
Hoya cagayanensis
Hoya camphorifolia
Hoya cardiophylla
Hoya carnosa
Hoya caudata
Hoya ciliata
Hoya cinnamomifolia
Hoya citrina
Hoya cominsii
Hoya crassicaulis
Hoya crassipes
Hoya cumingiana
Hoya curtisii
Hoya darwinii
Hoya davidcummingii
Hoya dennisii
Hoya dimorpha
Hoya diptera
Hoya diversifolia
Hoya edeni
Hoya erythrostemma
Hoya finlaysonii
Hoya glabra
Hoya globulosa
Hoya gracilis
Hoya heuschkeliana
Hoya hypolasia
Hoya ignorata
Hoya imbricata
Hoya incrassata
Hoya inflata
Hoya kentiana
Hoya kerrii
Hoya lacunosa
Hoya lanceolata
Hoya leucorhoda
Hoya limoniaca
Hoya linearis
Hoya loheri
Hoya longifolia
Hoya macgillivrayi
Hoya madulidii
Hoya manipurensis
Hoya meliflua
Hoya merrillii
Hoya mitrata
Hoya multiflora
Hoya neoebudica
Hoya nicholsoniae
Hoya obovata
Hoya obscura
Hoya odorata
Hoya patella
Hoya pauciflora
Hoya pentaphlebia
Hoya polyneura
Hoya polystachya
Hoya pottsii
Hoya praetorii
Hoya pseudolittoralis
Hoya pubera
Hoya pubicalyx
Hoya retusa
Hoya serpens
Hoya siariae
Hoya solaniflora
Hoya spartioides
Hoya telosmoides
Hoya thomsonii
Hoya tsangii
Hoya venusta
Hoya verticillata
Hoya vitellina
Hoya vitellinoides
Hoya vitiensis
Hoya wallichii
Hoya waymaniae
Hoya wightii
Huernia erectiloba
Huernia keniensis
Huernia kennedyana
Huernia verekeri
Hunteria eburnea
Hunteria umbellata
Hunteria zeylanica
Hutchinsonia barbata
Hydnophytum formicarum
Hydnophytum grandiflorum
Hydnophytum moseleyanum
Hydrophylax maritima
Hymenocoleus hirsutus
Hymenocoleus scaphus
Hymenodictyon biafranum
Hymenodictyon decaryi
Hymenodictyon excelsum
Hymenodictyon flaccidum
Hymenodictyon floribundum
Hymenodictyon glabrum
Hymenodictyon leandrii
Hymenodictyon louhavate
Hymenodictyon madagascaricum
Hymenodictyon occidentale
Hymenodictyon orixense
Hymenodictyon parvifolium
Hymenodictyon perrieri
Hymenodictyon septentrionale
Hymenodictyon seyrigii
Hymenodictyon tsingy
Hyperacanthus amoenus
Hyperacanthus grevei
Hyperacanthus microphyllus
Hyperacanthus perrieri
Hypobathrum racemosum
Ibetralia surinamensis
Ichnocarpus fragrans
Ichnocarpus frutescens
Ichnocarpus rhombifolius
Ichnocarpus serpyllifolius
Irlbachia nemorosa
Irlbachia poeppigii
Irlbachia pratensis
Irlbachia pumila
Ischnolepis graminifolia
Isertia coccinea
Isertia haenkeana
Isertia hypoleuca
Isertia laevis
Isertia parviflora
Isertia pittieri
Isertia rosea
Isertia spiciformis
Isidorea leptantha
Isidorea pedicellaris
Isidorea pungens
Isidorea veris
Isonema smeathmannii
Ixanthus viscosus
Ixora aluminicola
Ixora amplexicaulis
Ixora amplidentata
Ixora angustilimba
Ixora arborea
Ixora bartlingii
Ixora batesii
Ixora bauchiensis
Ixora biflora
Ixora borboniae
Ixora brachypoda
Ixora brevifolia
Ixora brunonis
Ixora calycina
Ixora casei
Ixora cauliflora
Ixora chinensis
Ixora coccinea
Ixora collina
Ixora comptonii
Ixora crassipes
Ixora cremixora
Ixora densithyrsa
Ixora diversifolia
Ixora dzumacensis
Ixora elegans
Ixora elliotii
Ixora emirnensis
Ixora fastigiata
Ixora ferrea
Ixora finlaysoniana
Ixora floribunda
Ixora foliicalyx
Ixora foliosa
Ixora francii
Ixora graciliflora
Ixora guillotii
Ixora guineensis
Ixora hartiana
Ixora hiernii
Ixora hippoperifera
Ixora hookeri
Ixora iteophylla
Ixora ixoroides
Ixora javanica
Ixora jourdanii
Ixora killipii
Ixora kuakuensis
Ixora lecardii
Ixora littoralis
Ixora longiloba
Ixora longissima
Ixora macilenta
Ixora macrophylla
Ixora mangabensis
Ixora margaretae
Ixora marquesensis
Ixora microphylla
Ixora minutiflora
Ixora mocquerysii
Ixora moorensis
Ixora narcissodora
Ixora nematopoda
Ixora nigricans
